"id","year","player","team","completions","pass_attempts","passing_yards","passing_td","interception","times_sacked","sack_yards","longest_pass","qbr","rush_attempts","rushing_yards","rushing_td","longest_run","receptions","receiving_yards","receiving_td","longest_reception","fumble","fumbles_lost"
1,2021,"Joe Burrow","CIN",22,33,263,1,0,7,43,75,100.9,2,3,0,4,0,0,0,0,0,0
2,2021,"Joe Mixon","CIN",1,1,6,1,0,0,0,6,131.2,15,72,0,14,5,1,0,4,0,0
3,2021,"Ja'Marr Chase","CIN",0,0,0,0,0,0,0,0,,1,4,0,4,5,89,0,46,0,0
4,2021,"Tee Higgins","CIN",0,0,0,0,0,0,0,0,,0,0,0,0,4,100,2,75,0,0
5,2021,"Tyler Boyd","CIN",0,0,0,0,0,0,0,0,,0,0,0,0,5,48,0,16,0,0
6,2021,"Mike Thomas","CIN",0,0,0,0,0,0,0,0,,0,0,0,0,1,17,0,17,0,0
7,2021,"C.J. Uzomah","CIN",0,0,0,0,0,0,0,0,,0,0,0,0,2,11,0,6,0,0
8,2021,"Chris Evans","CIN",0,0,0,0,0,0,0,0,,0,0,0,0,1,3,0,3,0,0
9,2021,"Samaje Perine","CIN",0,0,0,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,0
10,2021,"Matthew Stafford","LAR",26,40,283,3,2,2,13,35,89.9,3,6,0,7,0,0,0,0,0,0
11,2021,"Cooper Kupp","LAR",0,1,0,0,0,0,0,0,39.6,1,7,0,7,8,92,2,22,0,0
12,2021,"Cam Akers","LAR",0,0,0,0,0,0,0,0,,13,21,0,8,3,14,0,7,0,0
13,2021,"Darrell Henderson","LAR",0,0,0,0,0,0,0,0,,4,7,0,5,3,43,0,25,0,0
14,2021,"Sony Michel","LAR",0,0,0,0,0,0,0,0,,2,2,0,3,0,0,0,0,0,0
15,2021,"Odell Beckham Jr.","LAR",0,0,0,0,0,0,0,0,,0,0,0,0,2,52,1,35,0,0
16,2021,"Brycen Hopkins","LAR",0,0,0,0,0,0,0,0,,0,0,0,0,4,47,0,16,0,0
17,2021,"Van Jefferson","LAR",0,0,0,0,0,0,0,0,,0,0,0,0,4,23,0,13,0,0
18,2021,"Ben Skowronek","LAR",0,0,0,0,0,0,0,0,,0,0,0,0,2,12,0,7,0,0
19,2020,"Patrick Mahomes","KAN",26,49,270,0,2,3,27,33,52.3,5,33,0,11,0,0,0,0,1,0
20,2020,"Clyde Edwards-Helaire","KAN",0,0,0,0,0,0,0,0,,9,64,0,26,2,23,0,18,0,0
21,2020,"Tyreek Hill","KAN",0,0,0,0,0,0,0,0,,1,5,0,5,7,73,0,23,0,0
22,2020,"Darrel Williams","KAN",0,0,0,0,0,0,0,0,,2,5,0,3,2,10,0,9,0,0
23,2020,"Travis Kelce","KAN",0,0,0,0,0,0,0,0,,0,0,0,0,10,133,0,33,0,0
24,2020,"Sammy Watkins","KAN",0,0,0,0,0,0,0,0,,0,0,0,0,1,13,0,13,0,0
25,2020,"Demarcus Robinson","KAN",0,0,0,0,0,0,0,0,,0,0,0,0,1,11,0,11,0,0
26,2020,"Mecole Hardman","KAN",0,0,0,0,0,0,0,0,,0,0,0,0,2,4,0,4,0,0
27,2020,"Byron Pringle","KAN",0,0,0,0,0,0,0,0,,0,0,0,0,1,3,0,3,0,0
28,2020,"Tom Brady","TAM",21,29,201,3,0,1,6,31,125.8,4,-2,0,0,0,0,0,0,1,0
29,2020,"Leonard Fournette","TAM",0,0,0,0,0,0,0,0,,16,89,1,27,4,46,0,15,0,0
30,2020,"Ronald Jones II","TAM",0,0,0,0,0,0,0,0,,12,61,0,13,0,0,0,0,0,0
31,2020,"Rob Gronkowski","TAM",0,0,0,0,0,0,0,0,,0,0,0,0,6,67,2,25,0,0
32,2020,"Mike Evans","TAM",0,0,0,0,0,0,0,0,,0,0,0,0,1,31,0,31,0,0
33,2020,"Cameron Brate","TAM",0,0,0,0,0,0,0,0,,0,0,0,0,3,26,0,15,0,0
34,2020,"Antonio Brown","TAM",0,0,0,0,0,0,0,0,,0,0,0,0,5,22,1,16,0,0
35,2020,"Chris Godwin","TAM",0,0,0,0,0,0,0,0,,0,0,0,0,2,9,0,8,0,0
36,2020,"Tanner Hudson","TAM",0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
37,2020,"Tyler Johnson","TAM",0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
38,2020,"Joe Haeg","TAM",0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
39,2020,"Scott Miller","TAM",0,0,0,0,0,0,0,0,,1,-3,0,-3,0,0,0,0,0,0
40,2019,"Patrick Mahomes","KAN",26,42,286,2,2,4,18,44,78.1,9,29,1,13,0,0,0,0,2,0
41,2019,"Damien Williams","KAN",0,0,0,0,0,0,0,0,,17,104,1,38,4,29,1,13,1,0
42,2019,"Travis Kelce","KAN",0,0,0,0,0,0,0,0,,1,2,0,2,6,43,1,11,0,0
43,2019,"Tyreek Hill","KAN",0,0,0,0,0,0,0,0,,0,0,0,0,9,105,0,44,0,0
44,2019,"Sammy Watkins","KAN",0,0,0,0,0,0,0,0,,0,0,0,0,5,98,0,38,0,0
45,2019,"Blake Bell","KAN",0,0,0,0,0,0,0,0,,0,0,0,0,1,9,0,9,0,0
46,2019,"Darwin Thompson","KAN",0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0
47,2019,"Mecole Hardman","KAN",0,0,0,0,0,0,0,0,,1,-6,0,-6,1,2,0,2,0,0
48,2019,"Jimmy Garoppolo","SFO",20,31,219,1,2,1,9,26,69.2,2,2,0,3,0,0,0,0,0,0
49,2019,"Raheem Mostert","SFO",0,0,0,0,0,0,0,0,,12,58,1,17,1,2,0,2,0,0
50,2019,"Deebo Samuel","SFO",0,0,0,0,0,0,0,0,,3,53,0,32,5,39,0,16,0,0
51,2019,"Tevin Coleman","SFO",0,0,0,0,0,0,0,0,,5,28,0,17,1,3,0,3,0,0
52,2019,"Kendrick Bourne","SFO",0,0,0,0,0,0,0,0,,0,0,0,0,2,42,0,26,0,0
53,2019,"Kyle Juszczyk","SFO",0,0,0,0,0,0,0,0,,0,0,0,0,3,39,1,15,0,0
54,2019,"Emmanuel Sanders","SFO",0,0,0,0,0,0,0,0,,0,0,0,0,3,38,0,18,0,0
55,2019,"George Kittle","SFO",0,0,0,0,0,0,0,0,,0,0,0,0,4,36,0,12,0,0
56,2019,"Jeff Wilson","SFO",0,0,0,0,0,0,0,0,,0,0,0,0,1,20,0,20,0,0
57,2018,"Tom Brady","NWE",21,35,262,0,1,1,9,29,71.4,2,-2,0,-1,0,0,0,0,1,0
58,2018,"Sony Michel","NWE",0,0,0,0,0,0,0,0,,18,94,1,26,0,0,0,0,0,0
59,2018,"Rex Burkhead","NWE",0,0,0,0,0,0,0,0,,7,43,0,26,2,15,0,8,0,0
60,2018,"Julian Edelman","NWE",0,0,0,0,0,0,0,0,,1,8,0,8,10,141,0,27,0,0
61,2018,"Cordarrelle Patterson","NWE",0,0,0,0,0,0,0,0,,2,7,0,6,2,14,0,9,0,0
62,2018,"James White","NWE",0,0,0,0,0,0,0,0,,2,4,0,3,1,5,0,5,0,0
63,2018,"Rob Gronkowski","NWE",0,0,0,0,0,0,0,0,,0,0,0,0,6,87,0,29,0,0
64,2018,"Chris Hogan","NWE",0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
65,2018,"Jared Goff","LAR",19,38,229,0,1,4,31,24,57.9,0,0,0,0,0,0,0,0,0,0
66,2018,"Todd Gurley","LAR",0,0,0,0,0,0,0,0,,10,35,0,16,1,-1,0,-1,0,0
67,2018,"C.J. Anderson","LAR",0,0,0,0,0,0,0,0,,7,22,0,5,2,12,0,9,1,0
68,2018,"Robert Woods","LAR",0,0,0,0,0,0,0,0,,1,5,0,5,5,70,0,18,0,0
69,2018,"Brandin Cooks","LAR",0,0,0,0,0,0,0,0,,0,0,0,0,8,120,0,24,0,0
70,2018,"Josh Reynolds","LAR",0,0,0,0,0,0,0,0,,0,0,0,0,3,28,0,11,0,0
71,2018,"Gerald Everett","LAR",0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
72,2017,"Tom Brady","NWE",28,48,505,3,0,1,5,50,115.4,1,6,0,6,0,0,0,0,1,1
73,2017,"Danny Amendola","NWE",0,1,0,0,0,0,0,0,39.6,0,0,0,0,8,152,0,50,0,0
74,2017,"James White","NWE",0,0,0,0,0,0,0,0,,7,45,1,26,2,21,0,15,0,0
75,2017,"Dion Lewis","NWE",0,0,0,0,0,0,0,0,,9,39,0,8,0,0,0,0,0,0
76,2017,"Rex Burkhead","NWE",0,0,0,0,0,0,0,0,,3,18,0,9,1,46,0,46,0,0
77,2017,"Chris Hogan","NWE",0,0,0,0,0,0,0,0,,1,4,0,4,6,128,1,43,0,0
78,2017,"Brandin Cooks","NWE",0,0,0,0,0,0,0,0,,1,1,0,1,1,23,0,23,0,0
79,2017,"Rob Gronkowski","NWE",0,0,0,0,0,0,0,0,,0,0,0,0,9,116,2,25,0,0
80,2017,"Phillip Dorsett","NWE",0,0,0,0,0,0,0,0,,0,0,0,0,1,19,0,19,0,0
81,2017,"James Develin","NWE",0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
82,2017,"Nick Foles","PHI",28,43,373,3,1,0,0,55,106.1,0,0,0,0,1,1,1,1,0,0
83,2017,"Trey Burton","PHI",1,1,1,1,0,0,0,1,118.7,0,0,0,0,0,0,0,0,0,0
84,2017,"LeGarrette Blount","PHI",0,0,0,0,0,0,0,0,,14,90,1,36,0,0,0,0,0,0
85,2017,"Jay Ajayi","PHI",0,0,0,0,0,0,0,0,,9,57,0,26,0,0,0,0,0,0
86,2017,"Nelson Agholor","PHI",0,0,0,0,0,0,0,0,,1,9,0,9,9,84,0,24,0,0
87,2017,"Corey Clement","PHI",0,0,0,0,0,0,0,0,,3,8,0,6,4,100,1,55,0,0
88,2017,"Alshon Jeffery","PHI",0,0,0,0,0,0,0,0,,0,0,0,0,3,73,1,34,0,0
89,2017,"Zach Ertz","PHI",0,0,0,0,0,0,0,0,,0,0,0,0,7,67,1,19,0,0
90,2017,"Torrey Smith","PHI",0,0,0,0,0,0,0,0,,0,0,0,0,5,49,0,17,0,0
91,2016,"Matt Ryan","ATL",17,23,284,2,0,5,44,39,144.1,0,0,0,0,0,0,0,0,1,1
92,2016,"Devonta Freeman","ATL",0,0,0,0,0,0,0,0,,11,75,1,37,2,46,0,39,0,0
93,2016,"Tevin Coleman","ATL",0,0,0,0,0,0,0,0,,7,29,0,9,1,6,1,6,0,0
94,2016,"Julio Jones","ATL",0,0,0,0,0,0,0,0,,0,0,0,0,4,87,0,27,0,0
95,2016,"Taylor Gabriel","ATL",0,0,0,0,0,0,0,0,,0,0,0,0,3,76,0,35,0,0
96,2016,"Austin Hooper","ATL",0,0,0,0,0,0,0,0,,0,0,0,0,3,32,1,19,0,0
97,2016,"Mohamed Sanu","ATL",0,0,0,0,0,0,0,0,,0,0,0,0,2,25,0,13,0,0
98,2016,"Patrick DiMarco","ATL",0,0,0,0,0,0,0,0,,0,0,0,0,2,12,0,10,0,0
99,2016,"Tom Brady","NWE",43,62,466,2,1,5,24,28,95.2,1,15,0,15,0,0,0,0,0,0
100,2016,"Julian Edelman","NWE",0,1,0,0,0,0,0,0,39.6,1,2,0,2,5,87,0,27,0,0
101,2016,"LeGarrette Blount","NWE",0,0,0,0,0,0,0,0,,11,31,0,9,0,0,0,0,1,1
102,2016,"James White","NWE",0,0,0,0,0,0,0,0,,6,29,2,10,14,110,1,28,0,0
103,2016,"Dion Lewis","NWE",0,0,0,0,0,0,0,0,,6,27,0,13,1,2,0,2,0,0
104,2016,"Danny Amendola","NWE",0,0,0,0,0,0,0,0,,0,0,0,0,8,78,1,20,0,0
105,2016,"Malcolm Mitchell","NWE",0,0,0,0,0,0,0,0,,0,0,0,0,6,70,0,18,0,0
106,2016,"Martellus Bennett","NWE",0,0,0,0,0,0,0,0,,0,0,0,0,5,62,0,25,0,0
107,2016,"Chris Hogan","NWE",0,0,0,0,0,0,0,0,,0,0,0,0,4,57,0,18,0,0
108,2015,"Cam Newton","CAR",18,41,265,0,1,6,64,45,55.4,6,45,0,14,0,0,0,0,2,2
109,2015,"Ted Ginn Jr.","CAR",0,0,0,0,0,1,4,0,,0,0,0,0,4,74,0,45,0,0
110,2015,"Jonathan Stewart","CAR",0,0,0,0,0,0,0,0,,12,29,1,12,1,-1,0,-1,0,0
111,2015,"Fozzy Whittaker","CAR",0,0,0,0,0,0,0,0,,4,26,0,15,1,14,0,8,0,0
112,2015,"Mike Tolbert","CAR",0,0,0,0,0,0,0,0,,5,18,0,11,0,0,0,0,2,1
113,2015,"Corey Brown","CAR",0,0,0,0,0,0,0,0,,0,0,0,0,4,80,0,42,0,0
114,2015,"Greg Olsen","CAR",0,0,0,0,0,0,0,0,,0,0,0,0,4,41,0,19,0,0
115,2015,"Devin Funchess","CAR",0,0,0,0,0,0,0,0,,0,0,0,0,2,40,0,24,0,0
116,2015,"Jerricho Cotchery","CAR",0,0,0,0,0,0,0,0,,0,0,0,0,2,17,0,11,0,0
117,2015,"Peyton Manning","DEN",13,23,141,0,1,5,37,25,56.6,0,0,0,0,0,0,0,0,2,1
118,2015,"C.J. Anderson","DEN",0,0,0,0,0,0,0,0,,23,90,1,34,4,10,0,7,0,0
119,2015,"Emmanuel Sanders","DEN",0,0,0,0,0,0,0,0,,0,0,0,0,6,83,0,25,0,0
120,2015,"Andre Caldwell","DEN",0,0,0,0,0,0,0,0,,0,0,0,0,1,22,0,22,0,0
121,2015,"Owen Daniels","DEN",0,0,0,0,0,0,0,0,,0,0,0,0,1,18,0,18,0,0
122,2015,"Demaryius Thomas","DEN",0,0,0,0,0,0,0,0,,0,0,0,0,1,8,0,8,0,0
123,2015,"Ronnie Hillman","DEN",0,0,0,0,0,0,0,0,,5,0,0,3,0,0,0,0,0,0
124,2015,"Jordan Norwood","DEN",0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
125,2014,"Tom Brady","NWE",37,50,328,4,2,1,8,23,101.1,2,-3,0,-1,0,0,0,0,0,0
126,2014,"LeGarrette Blount","NWE",0,0,0,0,0,0,0,0,,14,40,0,9,0,0,0,0,0,0
127,2014,"Shane Vereen","NWE",0,0,0,0,0,0,0,0,,4,13,0,7,11,64,0,16,0,0
128,2014,"Julian Edelman","NWE",0,0,0,0,0,0,0,0,,1,7,0,7,9,109,1,23,0,0
129,2014,"Rob Gronkowski","NWE",0,0,0,0,0,0,0,0,,0,0,0,0,6,68,1,22,0,0
130,2014,"Danny Amendola","NWE",0,0,0,0,0,0,0,0,,0,0,0,0,5,48,1,17,0,0
131,2014,"Brandon LaFell","NWE",0,0,0,0,0,0,0,0,,0,0,0,0,4,29,1,11,0,0
132,2014,"James Develin","NWE",0,0,0,0,0,0,0,0,,0,0,0,0,1,6,0,6,0,0
133,2014,"Michael Hoomanawanui","NWE",0,0,0,0,0,0,0,0,,0,0,0,0,1,4,0,4,0,0
134,2014,"Russell Wilson","SEA",12,21,247,2,1,3,13,45,110.6,3,39,0,17,0,0,0,0,0,0
135,2014,"Marshawn Lynch","SEA",0,0,0,0,0,0,0,0,,24,102,1,15,1,31,0,31,0,0
136,2014,"Robert Turbin","SEA",0,0,0,0,0,0,0,0,,2,21,0,19,0,0,0,0,0,0
137,2014,"Chris Matthews","SEA",0,0,0,0,0,0,0,0,,0,0,0,0,4,109,1,45,0,0
138,2014,"Ricardo Lockette","SEA",0,0,0,0,0,0,0,0,,0,0,0,0,3,59,0,25,0,0
139,2014,"Jermaine Kearse","SEA",0,0,0,0,0,0,0,0,,0,0,0,0,3,45,0,33,0,0
140,2014,"Doug Baldwin","SEA",0,0,0,0,0,0,0,0,,0,0,0,0,1,3,1,3,0,0
141,2014,"Bryan Walters","SEA",0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
142,2013,"Peyton Manning","DEN",34,49,280,1,2,1,1,23,73.5,1,0,0,0,0,0,0,0,1,1
143,2013,"Knowshon Moreno","DEN",0,0,0,0,0,0,0,0,,5,17,0,9,3,20,0,7,1,0
144,2013,"C.J. Anderson","DEN",0,0,0,0,0,0,0,0,,2,9,0,6,1,14,0,14,0,0
145,2013,"Montee Ball","DEN",0,0,0,0,0,0,0,0,,6,1,0,3,2,2,0,1,0,0
146,2013,"Demaryius Thomas","DEN",0,0,0,0,0,0,0,0,,0,0,0,0,13,118,1,23,1,1
147,2013,"Wes Welker","DEN",0,0,0,0,0,0,0,0,,0,0,0,0,8,84,0,22,0,0
148,2013,"Julius Thomas","DEN",0,0,0,0,0,0,0,0,,0,0,0,0,4,27,0,11,0,0
149,2013,"Jacob Tamme","DEN",0,0,0,0,0,0,0,0,,0,0,0,0,2,9,0,11,0,0
150,2013,"Eric Decker","DEN",0,0,0,0,0,0,0,0,,0,0,0,0,1,6,0,6,0,0
151,2013,"Russell Wilson","SEA",18,25,206,2,0,0,0,37,123.1,3,26,0,16,0,0,0,0,0,0
152,2013,"Tarvaris Jackson","SEA",0,1,0,0,0,0,0,0,39.6,0,0,0,0,0,0,0,0,0,0
153,2013,"Percy Harvin","SEA",0,0,0,0,0,0,0,0,,2,45,0,30,1,5,0,5,0,0
154,2013,"Marshawn Lynch","SEA",0,0,0,0,0,0,0,0,,15,39,1,18,0,0,0,0,0,0
155,2013,"Robert Turbin","SEA",0,0,0,0,0,0,0,0,,9,25,0,6,0,0,0,0,0,0
156,2013,"Doug Baldwin","SEA",0,0,0,0,0,0,0,0,,0,0,0,0,5,66,1,37,0,0
157,2013,"Jermaine Kearse","SEA",0,0,0,0,0,0,0,0,,0,0,0,0,4,65,1,24,0,0
158,2013,"Ricardo Lockette","SEA",0,0,0,0,0,0,0,0,,0,0,0,0,1,19,0,19,0,0
159,2013,"Golden Tate","SEA",0,0,0,0,0,0,0,0,,0,0,0,0,3,17,0,9,0,0
160,2013,"Luke Willson","SEA",0,0,0,0,0,0,0,0,,0,0,0,0,2,17,0,12,0,0
161,2013,"Zach Miller","SEA",0,0,0,0,0,0,0,0,,0,0,0,0,1,10,0,10,0,0
162,2013,"Michael Robinson","SEA",0,0,0,0,0,0,0,0,,0,0,0,0,1,7,0,7,0,0
163,2012,"Joe Flacco","BAL",22,33,287,3,0,2,13,56,124.2,0,0,0,0,0,0,0,0,0,0
164,2012,"Ray Rice","BAL",0,0,0,0,0,0,0,0,,20,59,0,12,4,19,0,7,1,1
165,2012,"Bernard Pierce","BAL",0,0,0,0,0,0,0,0,,12,33,0,8,0,0,0,0,0,0
166,2012,"Justin Tucker","BAL",0,0,0,0,0,0,0,0,,1,8,0,8,0,0,0,0,0,0
167,2012,"Vonta Leach","BAL",0,0,0,0,0,0,0,0,,1,1,0,1,3,10,0,8,0,0
168,2012,"Anquan Boldin","BAL",0,0,0,0,0,0,0,0,,0,0,0,0,6,104,1,30,0,0
169,2012,"Jacoby Jones","BAL",0,0,0,0,0,0,0,0,,0,0,0,0,1,56,1,56,1,0
170,2012,"Ed Dickson","BAL",0,0,0,0,0,0,0,0,,0,0,0,0,2,37,0,23,0,0
171,2012,"Torrey Smith","BAL",0,0,0,0,0,0,0,0,,0,0,0,0,2,35,0,20,0,0
172,2012,"Dennis Pitta","BAL",0,0,0,0,0,0,0,0,,0,0,0,0,4,26,1,9,0,0
173,2012,"Sam Koch","BAL",0,0,0,0,0,0,0,0,,1,-8,0,-8,0,0,0,0,0,0
174,2012,"Colin Kaepernick","SFO",16,28,302,1,1,3,16,32,91.7,7,62,1,15,0,0,0,0,0,0
175,2012,"Frank Gore","SFO",0,0,0,0,0,0,0,0,,19,110,1,33,0,0,0,0,0,0
176,2012,"LaMichael James","SFO",0,0,0,0,0,0,0,0,,3,10,0,9,0,0,0,0,1,1
177,2012,"Michael Crabtree","SFO",0,0,0,0,0,0,0,0,,0,0,0,0,5,109,1,31,0,0
178,2012,"Vernon Davis","SFO",0,0,0,0,0,0,0,0,,0,0,0,0,6,104,0,29,0,0
179,2012,"Delanie Walker","SFO",0,0,0,0,0,0,0,0,,0,0,0,0,3,48,0,28,0,0
180,2012,"Randy Moss","SFO",0,0,0,0,0,0,0,0,,0,0,0,0,2,41,0,32,0,0
181,2012,"Ted Ginn Jr.","SFO",0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
182,2011,"Tom Brady","NWE",27,41,276,2,1,2,10,21,91.1,0,0,0,0,0,0,0,0,0,
183,2011,"BenJarvus Green-Ellis","NWE",0,0,0,0,0,,,0,,10,44,0,17,2,15,0,8,0,
184,2011,"Wes Welker","NWE",0,0,0,0,0,,,0,,2,21,0,11,7,60,0,19,0,
185,2011,"Danny Woodhead","NWE",0,0,0,0,0,,,0,,7,18,0,6,4,42,1,19,0,
186,2011,"Aaron Hernandez","NWE",0,0,0,0,0,,,0,,0,0,0,0,8,67,1,12,0,
187,2011,"Deion Branch","NWE",0,0,0,0,0,,,0,,0,0,0,0,3,45,0,19,0,
188,2011,"Rob Gronkowski","NWE",0,0,0,0,0,,,0,,0,0,0,0,2,26,0,20,0,
189,2011,"Chad Johnson","NWE",0,0,0,0,0,,,0,,0,0,0,0,1,21,0,21,0,
190,2011,"Eli Manning","NYG",30,40,296,1,0,3,14,38,103.7,1,-1,0,-1,0,0,0,0,0,
191,2011,"Ahmad Bradshaw","NYG",0,0,0,0,0,,,0,,17,72,1,24,2,19,0,11,1,0
192,2011,"Brandon Jacobs","NYG",0,0,0,0,0,,,0,,9,37,0,11,0,0,0,0,0,
193,2011,"Danny Ware","NYG",0,0,0,0,0,,,0,,1,6,0,6,1,8,0,8,0,
194,2011,"Hakeem Nicks","NYG",0,0,0,0,0,,,0,,0,0,0,0,10,109,0,19,1,0
195,2011,"Mario Manningham","NYG",0,0,0,0,0,,,0,,0,0,0,0,5,73,0,38,0,
